Id,Review,English Translation (Approximate) ,,,,,,,,,
1968,"ഈ സിനിമ എന്റെ എക്കാലത്തെയും പ്രിയപ്പെട്ട സിനിമകളിൽ ഒന്നാണ്, അതാണ് എന്നെ ആജീവനാന്ത നിക്കോളാസ് കേജ് ആരാധകനാക്കിയത്. 80-കളുടെ മധ്യത്തിൽ ഞാൻ ഈ സിനിമ ടേപ്പ് ചെയ്തു (വിസിആർ ഉപയോഗിച്ച് ഇത് ചെയ്യാൻ അസാധ്യമായപ്പോൾ!!) അത് വീണ്ടും വീണ്ടും കാണുമായിരുന്നു. ഓരോ അഭിനേതാക്കളും പൊളിച്ച അടുക്കി. ","This movie is one of my all time favorite films, that is the lifetime Nicholas cage worshiped.In the middle of the 80s, I taped this movie (when it was impossible to do it with VCR !!) It would have seen it again and again.Each actors were sacked.",,,,,,,,,
1969,"അക്ഷയ് ഖന്ന, അഫ്താബ് ശിവദാസനി, റിമി സെൻ, പരേഷ് റാവൽ എന്നിവർ അഭിനയിച്ച ഒരു കോമഡി ചിത്രമാണ് ഹംഗാമ. തെറ്റായ തിരിച്ചറിവുകളുടെയും തെറ്റിദ്ധാരണകളുടെയും രസകരമായ കഥയാണ് ചിത്രം. കാസ്റ്റിംഗ് മികച്ചതാണ്, പ്രധാന അഭിനേതാക്കൾ തമ്മിലുള്ള രസതന്ത്രം മികച്ചതാണ്. ഛായാഗ്രഹണം ചിത്രത്തിന്റെ കുഴപ്പവും നർമ്മവും ഒപ്പിയെടുക്കുന്നു, പ്രിയദർശന്റെ സംവിധാനവും മികച്ചതാണ്. തിരക്കഥ നല്ല രീതിയിൽ എഴുതിയിരിക്കുന്നു, അത് ഒരു വിനോദ വാച്ചാക്കി മാറ്റുന്നു.","Akhayaka Khanna, Aftab Sivadasani, Rimi Sen and Paresh Rawal are a comedy film.The picture is a cool story of misunderstandings and misconceptions.Casting is the best, the chemistry between the main actors is great.Cinematography is signed by the film's trouble and humor, and Priyadarshan is also better.The script is written in a good way, it changes a recreational word.",,,,,,,,,
1970,"സെക്കന്റ്  ട്രൈലെർ  ന്റെ ആവശ്യമേ ഇല്ലായിരുന്നു എന്ന് തോന്നി...👎🏻 മെയിൻ തീം  എന്താണെന്ന് അതിലൂടെ തന്നെ കാണിച്ച്, സിനിമ കാണുമ്പോള്‍ ഉള്ള എസ്‌സിഎംഎന്റ്  കുറച്ചു കളഞ്ഞു 🙃 തീറ്ററെ  എക്സ്പീരിയൻസ്  ഗംഭീരം തന്നെ ആയിരുന്നു 💯 സൈലെന്സ   ഉപയോഗിക്കേണ്ട പല ഇടത്തും ബിജിഎം  കുറച്ച് കൂടുതല്‍ ആയി പോയി.. എങ്കിലും എ .  ർ . റഹ്മാൻ  ന്റെ സ്‌കോർഎസ്  ഒക്കെ മികച്ചത് തന്നെ ആയിരുന്നു.. വെള്ളത്തിലെ ജാഫാർ ഇടുക്കി - ഫഫ  മൊമെന്റ്‌സ്‌  ഒക്കെ വല്ലാത്തൊരു ഫീൽ ആയിരുന്നു 😌
പഴ്സനാലി  നന്നായി ഇഷ്ട്ടപ്പെട്ടു ","Second Triler seemed to be the need for the request ...R.Rahman's scorres were the best. Idukki Momourze was a source of sain
Personali was well led",,,,,,,,,
1971,അഭിനയിക്കാൻ വന്ന എല്ലാവരും നല്ല മൂഞ്ചിയ പ്രകടനം കാഴ്ച വച്ച നല്ല മൂഞ്ചിയ പടമായിരുന്നു ഇത്. ഇത് മുഴുവനും ഇരുന്നു കണ്ട എന്നെ സമ്മതിക്കാതെ വയ്യ.,This was a good flaky battle of good flagship by all who acted to act.Can't agree all this.,,,,,,,,,
1972,മോശമായി വികസിപ്പിച്ച നിരവധി പ്ലോട്ട് പോയിന്റുകളുള്ള കഥ സങ്കീർണ്ണവും ആശയക്കുഴപ്പമുണ്ടാക്കുന്നതുമാണ്.,The story with many poorly developed plot points is complicated and confusing.,,,,,,,,,
1973,പ്രണയ രംഗങ്ങൾ വളരെ കുറച്ചേ ഉള്ളു എങ്കിലും വളരെ നന്നായി. ഭംഗി അതിന്ടെ പെരുമയോട്ടും ചോരാതെ അഭിനന്ദ്  രാമാനുജനാണ് തന്ടെ ക്യാമറയിലൂടെ പകർത്തിയെടുത്തു . കഥാപാത്രഅവതരണത്തിന്ടെ കാര്യത്തിൽ അത്ര വന്നില്ല. ,"Love scenes are few and very well.Bhana's beauty, the camera was copied by the camera.Not so much in case with the character of the character.",,,,,,,,,
1974,"കാസ്റ്റിംഗ് എല്ലാം തെറ്റായിരുന്നു, കഥ ഒരു സ്‌നൂസ്-ഫെസ്റ്റ് ആയിരുന്നു. ഈ സിനിമയ്‌ക്കായി ഞാൻ എന്റെ ജീവിതത്തിലെ രണ്ട് മണിക്കൂർ പാഴാക്കിയെന്ന് എനിക്ക് വിശ്വസിക്കാൻ കഴിയില്ല. മികച്ച ഛായാഗ്രഹണം ആയിരുന്നു.  ക്യാമറാമാൻ സ്വന്തം കഴിവ് തെളിയിച്ചു.","Casting was all wrong, the story was a snooze-fest.I can't believe that I wasted two hours of my life for this movie.The best photography.The cameraman proved his own ability.",,,,,,,,,
1975,ശരാശരി സിനിമ. തിരക്കഥ വളരെ മോശമായി എഴുതിയിരിക്കുന്നു.,Average movie.Script is very poorly written.,,,,,,,,,
1976,"എല്ലാ മേഖലകളിലും പരാജയപ്പെടുന്ന ഒരു സിനിമ കണ്ടെത്തുന്നത് അപൂർവമാണ്, എന്നാൽ എല്ലാ മേഖലകളിലും ഈ സിനിമ നിരാശപ്പെടുത്താൻ കഴിഞ്ഞു. ഛായാഗ്രഹണം മന്ദഗതിയിലുള്ളതും പൊരുത്തമില്ലാത്തതുമായിരുന്നു, മോശമായി ഫ്രെയിം ചെയ്ത ഷോട്ടുകളും ചലിക്കുന്ന ക്യാമറ ചലനങ്ങളും ഇടപഴകുന്നത് ബുദ്ധിമുട്ടാക്കി. സംഗീതം നിലവാരമില്ലാത്തതായിരുന്നു, ഏതെങ്കിലും മതിപ്പ് സൃഷ്ടിക്കുന്നതിനോ സീനുകളുടെ മൂഡ് വർദ്ധിപ്പിക്കുന്നതിനോ പരാജയപ്പെട്ടു. അഭിനയത്തെ സംബന്ധിച്ചിടത്തോളം അത് കേവലം ക്രൂരമായിരുന്നു. പ്രകടനങ്ങൾ മരപ്പണിയും യാതൊരു വികാരവുമില്ലാത്തവയായിരുന്നു, അത് കഥാപാത്രങ്ങളുമായി ബന്ധപ്പെടാൻ അസാധ്യമാക്കി. മൊത്തത്തിൽ, ഈ സിനിമ പൂർണ്ണ പരാജയമായിരുന്നു, മന്ദഗതിയിലുള്ള ഛായാഗ്രഹണം, നിലവാരമില്ലാത്ത സംഗീതം, മോശം അഭിനയം","Finding a film failing in all areas is rare, but the film was able to disappoint in all sectors.The cinematography was slow and incompatible, badly framed shots and moving camera movements.The music was unprecedented, failed to create any impression or increase the mood of Sines.For acting, it was merely cruel.Performances were carpenting and no feeling, and it was impossible to contact characters.Overall, this movie was a complete failure, slow cinematography, sluggish and inferior",,,,,,,,,
1977,"ആധികാരികതയില്ലാത്തതും പ്രേക്ഷകരെ ആകർഷിക്കുന്നതിൽ പരാജയപ്പെടുന്നതുമായ പ്രകടനങ്ങളുള്ള ഈ സിനിമയിലെ അഭിനയം വളരെ കുറവാണ്. പാട്ടുകൾക്ക് അവിസ്മരണീയമായ മെലഡികളോ അർത്ഥവത്തായ വരികളോ ഇല്ല, കഥപറച്ചിലിൽ കാര്യമായൊന്നും ചേർക്കുന്നില്ല. മാത്രമല്ല, ഛായാഗ്രഹണത്തിന് ദൃശ്യ മികവ് ഇല്ലാതിരിക്കുകയും ദൃശ്യപരമായി അതിശയിപ്പിക്കുന്ന സീക്വൻസുകൾ സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു, ഇത് ദൃശ്യപരമായി മങ്ങിയ ഒരു സിനിമയ്ക്ക് കാരണമാകുന്നു.","The acting in this movie is very low with performances that are not authenticable and failing to attract audience.The songs do not have any memorable melods or meaningful lines, and does not add anything to the storytelling.Moreover, the cinematography is not visible and fail to create visually surprising sequence, it causes a visually dimming movie.",,,,,,,,,
1978,"കാസ്റ്റിംഗ് സ്പോട്ട്-ഓൺ ആണ്, ശക്തവും സ്വാഭാവികവുമായ പ്രകടനങ്ങൾ നൽകുന്ന ബാലതാരങ്ങളും അവരുടെ റോളുകൾക്ക് ആഴം നൽകുന്ന മുതിർന്ന അഭിനേതാക്കളും","Casting spot-on, the child starts who give strong and natural performances are the senior actors of their roles",,,,,,,,,
1979,"അഭിനയം, കാസ്റ്റിംഗ്, എഡിറ്റിംഗ്  കഥ സംവിധാനം സംഗീതം എല്ലാം മോശം","Acting, Casting and Editing Story Director Music",,,,,,,,,
1980,കഥയിൽ  പാളിച്ചകൾ  സംഭവിച്ചിട്ടുണ്ട്.  കഥാപാത്രങ്ങളെ  തിരഞ്ഞെടുത്തത്  നല്ലതായിരുന്നു.സംവിധാനവും  മികച്ച  രീതിയിൽ  ഉള്ളതായിരുന്നു,There have been lodging in the story.Was good to choose the characters,,,,,,,,,
1981,മികച്ച സിനിമയെന്ന് പറയാൻ സാധിക്കില്ല നാട്ടിൻ പുറത്തെ ഒരു ഐതിഹ കഥയാണ് കേന്ദ്രകഥ . ഗാനങ്ങൾ നല്ലതാണ്,It cannot be said that it is the best film. The central story is a legendary story outside the country. Songs are good,,,,,,,,,
1982,"ചെറിയ പട്ടണത്തിലെ രണ്ട് സഹോദരന്മാരെയും കുടുംബ ബഹുമാനത്തെച്ചൊല്ലിയുള്ള അവരുടെ പോരാട്ടങ്ങളെയും കുറിച്ചാണ് നേർത്ത കഥ. ദുർഘടമായ സീക്വൻസുകൾ, ചലനാത്മകമായ ആഖ്യാനം, ആശയക്കുഴപ്പമുണ്ടാക്കുന്ന എഡിറ്റിംഗ് (എല്ലായ്‌പ്പോഴും കലാപരമായ അതിരുകടന്നവരെ ചൂണ്ടിക്കാണിക്കാൻ ചായ്‌വുള്ളതാണ്) എന്നിവയാൽ ചിത്രം മന്ദഗതിയിലാണ്. ക്യാമറ ഉപയോഗിച്ചുള്ള പെന്നിന്റെ തന്ത്രങ്ങൾ കഴിവുള്ള ഒരു കണ്ണ് കാണിക്കുന്നു, എന്നിട്ടും അവ മിക്കവാറും ഒരു പ്രകോപനമാണ്. **** നിന്ന് 1/2","The thin story is about the struggles of both brothers and family respect in small town.The picture is slowed by a dynamic narrative, dynamic narrative, confusing narrative, confusion editing (always inclined to point to the artistic extremity.The strategies used by the camera shows an eye capable eye, yet they are almost a provocation.1/2 from ****",,,,,,,,,
1983,"കഥ ദുർബലവും സാരാംശമില്ലാത്തതുമാണ്, മാത്രമല്ല പ്രേക്ഷകനെ ആകർഷിക്കുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു.","The story is weak and sad, but also fails to attract the audience.",,,,,,,,,
1984,"ഈ സിനിമയിലെ ഛായാഗ്രഹണം കേവലം അപര്യാപ്തമായിരുന്നു. ഷോട്ടുകൾക്ക് കലാപരമായ ബോധമോ ദൃശ്യാനുഭവമോ ഇല്ലായിരുന്നു. ഫ്രെയിമിംഗ് മങ്ങിയതും ഭാവനാശൂന്യവുമായിരുന്നു, കൂടാതെ ക്യാമറ ചലനങ്ങൾ അസ്വസ്ഥവും അനാവശ്യവുമായിരുന്നു. മൊത്തത്തിലുള്ള ദൃശ്യസൗന്ദര്യം തൃപ്തികരമല്ലെന്ന് തോന്നി, സിനിമയെ മെച്ചപ്പെടുത്താൻ അവർ ഒന്നും ചെയ്തില്ല.","The cinematography in this movie was simply inadequate. The shots lacked artistic sense or visual flair. The framing was dull and unimaginative, and the camera movements were awkward and unnecessary. The overall visual aesthetic felt unsatisfying and they did nothing to enhance the film.",,,,,,,,,
1985,ട്രൈലെർ കണ്ടു ഒരുപാട് ആഗ്രഹിച്ചു പോയ സിനിമയാണ്. പക്ഷെ പടം തുടങ്ങി ഒടുക്കം വരെ ബോറോട് ബോർ. സംവിധായകൻ തികച്ചും പരാജയപെട്ടു എന്ന് വേണം പറയാൻ. അഭിനയിച്ചവർ എല്ലാം തന്നെ ദുരന്തമായിട്ടാണ് അഭിനയിച്ചത്. പടം കണ്ട ഞാൻ മൂഞ്ചി. ,"The trler saw it is a lot of movies.But Borough Borough Borough until the last time it is.To say the director should be quite failure.All those who starred, everything acted as a tragedy.I saw the dumb.",,,,,,,,,
1986,"ചിത്രത്തിന്റെ കാസ്റ്റിംഗിൽ വാർഡ് ബോണ്ട്, ഗിഗ് യംഗ്, നെവിൽ ബ്രാൻഡ്, ലോൺ ചാനി, ജൂനിയർ, വാർണർ ആൻഡേഴ്സൺ തുടങ്ങിയ പാശ്ചാത്യ താരങ്ങൾ ഉൾപ്പെടുന്നു. കാസ്റ്റിംഗ് മികച്ചതായിരുന്നു. <br /><br />ഒരു സിനിമയുടെ സ്ലീപ്പർ, ഈ വിഭാഗത്തിലെ ആരാധകർക്ക് നല്ല സോളിഡ് വെസ്റ്റേൺ.","The film's casting includes Western players like Ward Bond, Gig Young, Neue Brand, Loan Chani, Jr. and Warner Anderson.Casting was great.<br /> <br /> Sleeper of a movie and the fans of this category is good solid Western.",,,,,,,,,
1987,"അഭിനേതാക്കൾ ഈ ചിത്രത്തിന് ചേരുന്നതല്ല.. കഥാപാത്രങ്ങൾക്ക് ജീവൻ നൽകുന്നതിൽ അഭിനേതാക്കൾ പരാജയപ്പെട്ടു, യഥാർത്ഥ ആധികാരികത ഇല്ലായിരുന്നു. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ",The film is not joining the film. The film is not joining the characters.It was terrible bad cinematography.It was not feeling at all.,,,,,,,,,
1988,"ഞാൻ കണ്ടതിൽ വച്ച് ഏറ്റവും മോശം സിനിമയാണിത്. ഞാൻ എഴുന്നേറ്റ് ടേപ്പ് 4-ൽ പോകാനൊരുങ്ങുകയായിരുന്നു, പക്ഷേ ഞാൻ അത് തടഞ്ഞു. ഞാൻ ഇപ്പോൾ എന്നെ ഒരു മാസോക്കിസ്റ്റ് ആയി കണക്കാക്കുന്നു! അഫ്ഗാനിസ്ഥാൻ? വരൂ കൂട്ടരേ! സംസ്കൃത പരസ്യബോർഡുകൾ മറയ്ക്കാൻ മറന്ന വിഡ്ഢി ആരാണ്? നായക നടൻ (ജോർജ് കാലിൽ) പ്രത്യേകിച്ച് കഴിവില്ലാത്തവനാണെന്ന് ഞാൻ കരുതി. മോശം അഭിനയത്തിനും തീക്ഷ്ണമായ ക്യാമറാ കുലുക്കത്തിനും പുറമെ, 9/11 ലെ സംഭവങ്ങളെ ലാർസനെ ഭ്രാന്തൻ ഇംപ്ലോഡ്‌സ് ആക്കാനുള്ള ഒരു കാരണമായി ഞാൻ കരുതി, നിങ്ങളുടെ അടുത്തുള്ള ഒരു സ്‌ക്രീനിലുടനീളം 9/11 ന്റെ ഇരകൾക്ക് അപമാനവും അനാദരവും. അന്ന് ഭീകരർ കൈവശം വച്ചിരുന്ന വിമാനങ്ങളിലൊന്നിൽ നിന്നാണെന്ന് കരുതപ്പെടുന്ന ലാർസന്റെ ഭാര്യ സാറയുടെ ഫോൺ കോൾ ഉപയോഗിക്കുന്നത് ഭയാനകമായിരുന്നു. ക്യാമറ കുലുക്കം എന്നെ വല്ലാതെ വേദനിപ്പിച്ചില്ല, ആ തണുത്ത ഹൃദയമുള്ള സ്റ്റണ്ട് ചെയ്തു.","This is the worst movie I've seen.I got up and prepared to go on tape 4 but I blocked it.I'm counting me as a masokist now!Afghanistan?Come together!Who is the foolish foolish to cover the Sanskrit advertisingboards?I thought the hero actor (in George Cell) thought was particularly incompetent.In addition to bad acting and shaking shaken shakes, I thought the land of the 9/11 was a reason to make Larsen crazy iplose.Larson's wife Sarah's phone call is considered to use Larson's phone call that is thought to be from one of the horses that had held the terrorists.The camera confession did not hurt me, and the cold heart was stunted.",,,,,,,,,
1989,കാണാൻ കൊള്ളാവുന്ന കൊച്ചു സിനിമ,Little Cinema where you can see,,,,,,,,,
1990,"പൾപ്പ് ഫിക്ഷനിലെ എഡിറ്റിംഗ് പാരമ്പര്യേതരവും നൂതനവുമാണ്, അതുല്യവും അവിസ്മരണീയവുമായ കാഴ്ചാനുഭവം സൃഷ്ടിക്കാൻ സഹായിക്കുന്നു. നോൺ-ലീനിയർ സ്റ്റോറിടെല്ലിംഗും ജമ്പ് കട്ടുകളും സിനിമയുടെ ഉപയോഗവും കാഴ്ചക്കാരനെ വഴിതെറ്റിക്കുന്നതിലും അവരെ ഊഹിക്കുന്നതിലും ഫലപ്രദമാണ്.",Editing of pulp fiction helps to create unique and memorable views.Non-linear storytelling and jump shoots are effective in the film's use of the film and guides them.,,,,,,,,,
1991,"ഞാൻ ഈ സിനിമ എപ്പോഴും കാണാറുണ്ട്. 3 മുതൽ 87 വയസ്സുവരെയുള്ള കുടുംബത്തോടൊപ്പവും അതിനിടയിലുള്ള എല്ലാവരുമായും ഞാൻ ഇത് കണ്ടു; അവർക്കെല്ലാം അത് ഇഷ്ടപ്പെട്ടു. ഒരു നായയുടെ യഥാർത്ഥ ദൃശ്യങ്ങളും വളർത്തുമൃഗത്തിൽ നിന്ന് നിങ്ങൾക്ക് ലഭിക്കുന്ന സ്നേഹവും വിശ്വസ്തതയും ഇത് ശരിക്കും കാണിക്കുന്നു. വളരെ മനോഹരം.<br /><br />കോമഡി സിനിമകൾ, കണ്ണുനീർ സിനിമകൾ, അല്ലെങ്കിൽ വളർത്തുമൃഗങ്ങൾ പോലും ഇഷ്ടപ്പെടുന്നവർക്ക് ഇത് വളരെ മികച്ചതാണ്.<br /><br />സംഗീതം അതിശയകരമാണ്, മൃഗങ്ങൾ അതിമനോഹരമാണ്, ദൃശ്യങ്ങൾ ശരിക്കും ചിന്തിച്ചു, കഥാപാത്രങ്ങൾ തികഞ്ഞതാണ്. കഥാപാത്രങ്ങളിൽ എനിക്ക് ഇഷ്ടപ്പെട്ടത് യഥാർത്ഥവും മനോഹരവുമായ വ്യക്തിത്വങ്ങളാണ്","I always see this movie.I saw this with the family of 3 to 87 years and all that is between the people between;They all liked it.It really shows love and loyalty you get from the pet of a dog.Very beautiful. <br /> <br /> The music is very good. <br /> Movies, tears are very amazing.I like the characters is real and beautiful personalities",,,,,,,,,
1992,"കാസ്റ്റിംഗ് അസമമാണ്, ചില അഭിനേതാക്കൾ ശക്തമായ പ്രകടനം കാഴ്ചവയ്ക്കുന്നു, മറ്റുള്ളവർ കുറവായിരിക്കും","Casting is uneven, some actors perform stronger and others will be less",,,,,,,,,
1993,"യുവപ്രേക്ഷകരെ ലക്ഷ്യമാക്കി ഒരുക്കിയ സിനിമയാണ് സലാല മൊബൈൽസ്. പ്രേക്ഷകരുടെ ഇഷ്ടതാരങ്ങളായ ദുൽഖർ, നസ്രിയ തുടങ്ങിയവർ കേന്ദ്രകഥാപാത്രങ്ങളായെങ്കിലും സിനിമയ്ക്ക് കാര്യമായ വിജയം നേടാനായില്ല.","Salala Mobiles is aimed at aimed at young audience.Dulquer and Nazriya, who are the audience, Dulquer and Nazriya, but were unable to win a significant success.",,,,,,,,,
1994,"വ്യത്യസ്തമായ കഥ, ചായഗ്രഹണം ","Different story, tea",,,,,,,,,
1995,എൻഗേജിങ്  ആയി കൊണ്ട് പോയിട്ട് ക്ലൈമാക്സ്  പ്രേസേന്റ്റ്  ചെയ്തത് ഒരു സുഖം ആയില്ല. വില്ലനെ കാണിക്കുമ്പോൾ ഉള്ള ആ ഒരു എസ്‌സിറ്റിംഗ്  മോമെന്റ്റ്  നഷ്ടം ആയ പോലെ തോന്നി.,"The climax did not take a healing on the climax of Engaging.When the villain was shown, it seemed like an escting measuring loss.",,,,,,,,,
1996,"ഛായാഗ്രഹണം ശരാശരിയാണ്, പ്രത്യേകിച്ച് ശ്രദ്ധേയമായ ഒന്നും തന്നെയില്ല.","The cinematography is average, especially noticeable.",,,,,,,,,
1997,"ആവറേജ് സിനിമ. കഥ, തിരക്കഥ, എല്ലാം തന്നെ ഓരോ പ്രേക്ഷകനും പെട്ടെന്ന് മനസ്സിലാക്കാൻ സാധിക്കാത്ത സിനിമയാണ് ചുരുളി.സിനിമയുടെ അവതരണ ശൈലി, ചായാഗ്രഹണം എല്ലാം തന്നെ മികച്ച് നിൽക്കുന്നുണ്ട് എങ്കിലും സംവിധായകൻ ഉദ്ദേശിച്ചത് പ്രേക്ഷകരിലേക്ക് എത്തിക്കുന്നതിൽ സംവിധായകൻ പരാജയപ്പെട്ടു എന്നാണ് എനിക്ക് തോന്നുന്നത്. ","Average movie.I think the director failed to get the director who was not suddenly understood by the story, the screenplay, the screenplay, and the roley.",,,,,,,,,
1998,വ്യെക്തമായ ആശയം കൃത്യതയോട് കൂടി അവതരിപ്പിച്ച സിനിമ ,A film that presents a clear idea with precision,,,,,,,,,
1999,". ഇത് എത്രത്തോളം ബുദ്ധിമുട്ടുള്ള കാര്യമാണെന്ന് എനിക്കറിയാം, പക്ഷേ നിർമ്മിക്കുന്ന ഒരു തിരക്കഥയ്ക്ക് രചയിതാവ് കൂടുതൽ ശ്രമിക്കേണ്ടതായിരുന്നു <br /><br />സിനിമയുടെ സന്ദേശം വിശദീകരിക്കാൻ പ്രയാസമാണ്. തിരക്കഥ നന്നാക്കാമായിരുന്നു ",.I know how difficult it is is to try to try more for a screenplay that makes <br /> <br /> is hard to explain the message of the movie.The script could be repaired,,,,,,,,,
2000,"""സൊണാറ്റ"" നന്നായി സംവിധാനം ചെയ്‌ത സിനിമയാണെങ്കിലും, വ്യക്തമായ ആഖ്യാനത്തിന്റെ അഭാവത്തിൽ ചില സമയങ്ങളിൽ മന്ദഗതിയിലാവുകയും വളയുകയും ചെയ്യും. പ്രതീകാത്മകതയും തീമുകളും അൽപ്പം ഭാരമുള്ളതായി അനുഭവപ്പെടും, ഇത് പ്രേക്ഷകർക്ക് അൽപ്പം കൃത്രിമത്വം അനുഭവപ്പെടുന്നു. എന്നിരുന്നാലും, അഭിനേതാക്കളുടെ ശക്തമായ പ്രകടനങ്ങൾ ഈ സിനിമയെ കഥാപാത്രങ്ങളാൽ നയിക്കപ്പെടുന്ന നാടകങ്ങളുടെ ആരാധകർക്ക് കാണാൻ യോഗ്യമാക്കുന്നു.","Despite the ""Sonata"", the lack of clear narrative will slow down and bend.Symbolity and themes feel like being a bit heavy, and it feels a little manner in the audience.However, the strong performances of actors are qualified to see the fans of the plays leading this film with characters.",,,,,,,,,
2001,"ബിജിഎം  & ഒറിജിനൽ  മ്യൂസിക്  ഒരു ആർപ്പുവിളി അർഹിക്കുന്നു, കൂടാതെ ഗുണ്ടാ സിനിമകളിൽ പലപ്പോഴും കാണപ്പെടുന്ന ചരക്ക് കടത്ത്, ബാർ-ഡാൻസ് രംഗങ്ങൾ മുതലായവ പോലുള്ള ക്ലീഷെ രംഗങ്ങൾ ഉണ്ടായിരുന്നുവെങ്കിലും സിനിമയുടെ മറ്റൊരു വലിയ പോസിറ്റീവ്  തികച്ചും ആകർഷകമായ തിരക്കഥയായിരുന്നു. പാട്ടുകൾ എല്ലാം തന്നെ വളരെ മോശമായാണ് തോന്നിയത്. കേൾക്കാൻ ഇമ്പമില്ലാത്ത സംഗീതമായിരുന്നു. ","BGM & Original Music deserves a shouting, and the commodity trafficking, and bar-dance scenes, which are often seen in the gar-dance scenes, but the other big positive in the film was a perfectly attractive script.The songs were all very bad.Was a seamless music to hear.",,,,,,,,,
2002,"ടെക്‌നിക്കലി  - ഗുഡ് 
പെർഫോമൻസ്  - നന്നാക്കാമായിരുന്നു .
സ്ക്രിപ്റ്റ് - കൂടുതൽ സ്കോപ്പ്  ഉണ്ടായിരുന്നു .
വൺ  ടൈം  വാച്ചബിൾ   ഒൺലി ","Technicial - Good
Performance - could have been repaired.
Script - there was more scope.
One Time Watchable Only",,,,,,,,,
2003,"കാസ്റ്റിംഗ് സാധാരണമാണ്, ചില അഭിനേതാക്കൾ മറക്കാനാവാത്ത പ്രകടനങ്ങൾ നൽകുന്നു, മറ്റുള്ളവർ ദുർബലമായ തിരക്കഥയ്ക്ക് മുകളിൽ ഉയരാൻ പരാജയപ്പെടുന്നു","Casting is common, some actors provide unforgettable performances, and others fail to rise above the weak script",,,,,,,,,
2004,"അർത്ഥമോ ലക്ഷ്യമോ ദിശാബോധമോ ഇല്ലാത്ത ഒരു ജീവിതത്തിൽ ഫ്രഞ്ച് സമൂഹത്തിന്റെ അതിരുകളിൽ മോണ ജീവിക്കുന്നു.<br /><br />എല്ലാ മികച്ച അവലോകനങ്ങളും കാരണം ഞാൻ ഇത് കണ്ടു, പക്ഷേ എനിക്ക് എന്തെങ്കിലും നഷ്ടമായിരിക്കുമെന്ന് ഞാൻ ഭയപ്പെടുന്നു. മോന എന്ന കഥാപാത്രത്തിന് വ്യക്തിത്വമില്ല അല്ലെങ്കിൽ വ്യക്തിത്വമില്ല.മെയിൻ കഥാപാത്രത്തിന്റെ  ആക്ടിങ് വളരെ മോശമായിരുന്നു . മിസ്കാസ്റ് ആയിപ്പോയി ","In a life that there is a meaning or purpose, the French society lives in the French society. <br /> <br /> I've seen it because of all the best reviews.The role of Monoa has no personal or an acting of the.Main Role.Miscass is also",,,,,,,,,
2005,ആഖ്യാനത്തിലേക്ക് ഒന്നും ചേർക്കാത്ത പാട്ടുകൾക്കൊപ്പം ശബ്ദട്രാക്ക് സ്ഥലത്തിന് പുറത്തുള്ളതും ശ്രദ്ധ തിരിക്കുന്നതും തോന്നുന്നു,Soundtrack is out of sighting and distracting with songs that don't add anything to the narrative,,,,,,,,,
2006,"നായകനായി ഹീത്ത് ലെഡ്ജർ മികച്ച പ്രകടനം കാഴ്ചവയ്ക്കുമ്പോൾ, പിന്തുണക്കുന്ന അഭിനേതാക്കൾക്ക് അവികസിതവും ഏകമാനവും തോന്നുന്നു.","When Heath Ledjer is doing well as the captain, the supported actors appear understood and uniform.",,,,,,,,,
2007,"ഇത് 7-8 എപ്പിസോഡുകളുള്ള ഒരു വെബ് സീരീസ് ആയിരിക്കണം, അപ്പോൾ അവർക്ക് ഇതിവൃത്തം കൂടുതൽ നന്നായി നടപ്പിലാക്കാമായിരുന്നു, ക്ലൈമാക്സ് തിരക്കിലാണെന്ന് തോന്നുന്നു, പ്ലോട്ടിന് കൂടുതൽ സാധ്യതയുണ്ടെന്ന് തോന്നുന്നു, പക്ഷേ എവിടെയോ സംവിധായകൻ അത് ഉപയോഗിക്കുന്നതിൽ പരാജയപ്പെട്ടതായി തോന്നുന്നു, ബിൽഡപ്പ് സെറ്റപ്പ് എല്ലാം നല്ലതാണ്","It should have been a web series with 7-8 episodes, then they could have executed the plot better, the climax seems rushed, the plot seems to have more potential but somewhere the director seems to have failed to utilize it, the build up setup is all good.",,,,,,,,,
2008,"റിയലിസ്റ്റിക് ഡയലോഗുകളും നന്നായി ചിത്രീകരിക്കപ്പെട്ട രംഗങ്ങളുമുള്ള തിരക്കഥ നന്നായി തയ്യാറാക്കിയിട്ടുണ്ട്, ഇത് പ്രേക്ഷകരെ സിനിമയിലുടനീളം ആകർഷിക്കുന്നു.","Realistic dialogs and well-illustrated scenes are well prepared, this attracts audience across the film.",,,,,,,,,
